"","gene_origin","gene_destination","effect","pvalue","anti.pvalue","p.adj","anti.p.adj"
"1","EEF1A1","FTL","1",0.426739377657452,0.26249591048706,0.698509821833696,0.543022847699072
"2","EEF1A1","NPM1","1",0.159370108332111,7.78575305822232e-05,0.412613038447173,0.00117094642529106
"3","EEF1A1","HBG2","1",0.245426363557308,0.677698020028662,0.526000206340107,0.865475891305208
"4","EEF1A1","RACK1","1",0.104789793120701,0.0363053765691468,0.323346770923733,0.160197144541856
"5","EEF1A1","TPT1","1",0.108168237862615,0.0142839169743322,0.327959188250124,0.0804310255565592
"6","EEF1A1","HBZ","1",0.00613602575494118,0.277882998858273,0.0421271101548278,0.561944627578359
"7","EEF1A1","GAPDH","1",0.39707251714553,6.17547942607788e-08,0.677917712308995,1.8575352966757e-06
"8","EEF1A1","ACTB","1",0.773922969297806,0.102079581350305,0.912486986817378,0.31936911789088
"9","EEF1A1","GP1BB","1",0.0930839824327046,0.0232620686595814,0.302456947354562,0.116299139652806
"10","EEF1A1","UQCRH","1",0.0977847133733536,0.161100953306421,0.311557377271367,0.414942514747694
"11","EEF1A1","H3F3A","1",8.01042923029709e-05,0.0916195489826228,0.00119000899763533,0.299451522118567
"12","EEF1A1","UBA52","1",0.711924325800252,0.53195941902161,0.881397898227448,0.779831364220678
"13","EEF1A1","NACA","1",0.965516460896405,0.172939119383942,0.990258083325639,0.43082332487775
"14","EEF1A1","HIST1H1C","1",8.11537814461766e-05,0.0483561953470473,0.00119682130113342,0.196793196871172
"15","EEF1A1","EEF1G","1",0.991119919356422,0.351651321121906,0.996187278864419,0.634769289107755
"16","EEF1A1","EEF1B2","1",0.85472509491217,0.868473868097878,0.946511506563498,0.954253843714064
"17","EEF1A1","APOE","1",0.759672659346938,0.0334540730646434,0.905477342255825,0.151262261448337
"18","EEF1A1","FAU","1",0.647851154892136,0.0175066488316377,0.849265073813294,0.0937787645790737
"19","EEF1A1","VIM","1",0.646755214616402,0.635736203137995,0.848927345865037,0.842943545055216
"20","EEF1A1","SET","1",0.215101401263663,0.440986842896671,0.489362634318305,0.709110919912346
"21","EEF1A1","H2AFZ","1",0.27550461722334,0.623626199249588,0.559455455470411,0.837011881298984
"22","EEF1A1","RAN","1",0.205792254554197,0.655876714949855,0.479078060793602,0.854966201530928
"23","EEF1A1","CHCHD2","1",0.748027517617381,0.779718600349152,0.900013846764477,0.915649442543766
"24","EEF1A1","PPIA","1",0.0802550868635088,0.294395193985318,0.276355598303758,0.57608541019478
"25","EEF1A1","OAZ1","1",0.449735454789008,0.120911951067792,0.715475947201061,0.348345668415316
"26","EEF1A1","BTF3","1",0.345744509024688,0.0169604225820983,0.627933026106669,0.0917644947540775
"27","EEF1A1","HSPA8","1",0.429779032250556,1.48189549773221e-20,0.701059619153362,1.57964860424928e-18
"28","EEF1A1","ACTG1","1",0.00807775353225678,0.687925214244661,0.0520574834790521,0.870921447686349
"29","EEF1A1","MIF","1",0.818812537575965,0.345556678479503,0.930685995744315,0.627933026106669
"30","EEF1A1","TMSB4X","1",0.727322302207212,0.0126236550080525,0.888442235402672,0.0729100074419459
"31","EEF1A1","HNRNPA1","1",0.311287669352744,0.0317650713101348,0.592488749206998,0.145663828890852
"32","EEF1A1","EIF1","1",0.957654179383133,0.401851166870324,0.987964100929888,0.68113846377312
"33","EEF1A1","HINT1","1",0.391431139129435,0.124482760312406,0.672796492602672,0.353934137416088
"34","EEF1A1","HMGA1","1",0.282480696266575,0.457799034027196,0.56496139253315,0.720325330750925
"35","EEF1A1","ANP32B","1",0.112019338148696,0.0679946921435002,0.334297396164772,0.246540330554449
"36","EEF1A1","SERBP1","1",0.6439239643879,0.000474446000463141,0.847161624277149,0.00523104841540531
"37","EEF1A1","H3F3B","1",0.0354464784288189,0.964857636081478,0.157578422318142,0.990258083325639
"38","EEF1A1","UBE2L3","1",0.785312007172552,0.704757451619719,0.917783372875635,0.87762659682142
"39","EEF1A1","PA2G4","1",0.833777124905768,0.538537161750647,0.938473205887144,0.78431251073752
"40","EEF1A1","NDUFS5","1",0.0793455413922112,2.837982145441e-06,0.27392244857902,6.09313763805636e-05
"41","EEF1A1","APOC1","1",0.0295290402581776,0.0383890300089018,0.13822684792657,0.166846742728246
