"","parent","child","pvalue"
"138","FTL","RAN",0.673802489693279
"139","FTL","HNRNPA2B1",0.361441609150979
"140","FTL","CHCHD2",0.0821637083453812
"141","FTL","PPIA",0.622164736469972
"142","FTL","OAZ1",0.455696285298085
"143","FTL","ENO1",0.588876469463975
"144","FTL","BTF3",0.640866710596702
"145","FTL","HSPA8",0.554171575785204
"146","FTL","ACTG1",0.586569750325203
"147","FTL","MIF",0.836063751901667
"148","FTL","TMSB4X",0.00707657827464272
"149","FTL","HNRNPA1",0.475774303594092
"150","FTL","EIF1",0.00132561855474147
"151","FTL","HINT1",0.0256498547527207
"152","FTL","HMGA1",0.241502100708831
"153","FTL","ANP32B",0.0963433754970567
"154","FTL","HSPE1",0.120464757763068
"155","FTL","ATP5MC3",0.664633994624669
"156","FTL","SERBP1",0.806842807173975
"157","FTL","H3F3B",8.08939280741379e-05
"158","FTL","PABPC1",0.852160486304854
"159","FTL","HNRNPU",0.18639377302509
"160","FTL","HBG1",0.0722754233194551
"161","FTL","UBE2L3",0.503944943500454
"162","FTL","PA2G4",0.156965566164122
"163","FTL","NDUFS5",0.996286949066308
"164","FTL","APOC1",0.00552788408407669
"165","FTL","EIF4A1",0.0703924963790194
"166","FTL","PFN1",0.890978208852366
"167","FTL","SDF2L1",0.284934006872602
"168","FTL","LDHB",0.911277284890275
"169","FTL","HIST1H1E",0.0253815801834999
"170","FTL","TUBA1C",0.614304728813928
"171","FTL","SLC25A3",0.623940992994604
"172","FTL","CFL1",0.121450846928312
"173","FTL","ATP5F1E",0.217949039204537
"174","FTL","COX4I1",0.600630515935735
"175","FTL","EIF5A",0.562907135425218
"176","FTL","HMGN1",0.222192749644803
"177","FTL","CLIC1",0.262668361304159
"178","FTL","STMN1",0.0327265456994861
"179","FTL","CCT5",0.564784902890544
"180","FTL","NDUFC2",0.0238777779374785
"181","FTL","HSP90B1",0.131258454714095
"182","FTL","UBE2S",0.621477857904088
"183","FTL","ATP5F1B",0.413592264488122
"184","FTL","TOMM20",0.515448819260531
"185","FTL","SUB1",0.695805391978286
"186","FTL","CCT3",0.860194199972029
"187","FTL","HNRNPC",0.441358832184023
"188","FTL","PRAME",0.321233459955122
"189","FTL","CENPF",0.824914840083434
"190","FTL","SFPQ",0.434156051834015
"191","FTL","NME1",0.739916312838845
"192","FTL","ATP5F1D",0.2043790751107
"193","FTL","HSPA5",0.678361177303187
"194","FTL","PTGES3",0.750328224810529
"195","FTL","NASP",0.399322507308408
"196","FTL","ATP5PF",0.551015840540595
"197","FTL","LDHA",0.330630245696781
"198","FTL","CCT8",0.477470360980196
"199","FTL","CALR",0.0198377344047008
"200","FTL","GPX4",0.826631938231924
"201","NPM1","EEF1A1",7.78575305822232e-05
"202","NPM1","FTL",0.40126690905592
"203","NPM1","NPM1",7.42833987909371e-223
"204","NPM1","FTH1",0.371507631017124
"205","NPM1","YBX1",0.0387960138811334
"206","NPM1","HBG2",0.496620001798792
"207","NPM1","RACK1",0.217606951710091
"208","NPM1","PTMA",0.356102261257135
"209","NPM1","TPT1",0.0128811183937138
"210","NPM1","HSP90AB1",0.577662367784406
"211","NPM1","HBZ",0.0175509099485779
"212","NPM1","RANBP1",0.00724690196941566
"213","NPM1","GAPDH",0.602391560935903
"214","NPM1","HIST1H4C",0.846777148587145
"215","NPM1","GSTP1",0.0322762218323632
"216","NPM1","ACTB",0.765738272974688
"217","NPM1","TUBA1B",0.222417302853925
"218","NPM1","GP1BB",0.114013176726669
"219","NPM1","UQCRH",0.839804425933082
"220","NPM1","H3F3A",0.177409002957138
"221","NPM1","NCL",0.603067804524774
"222","NPM1","UBA52",0.392922003788875
"223","NPM1","NACA",0.801357273439396
"224","NPM1","HSPD1",0.446821620737985
"225","NPM1","HSP90AA1",0.243700229546333
"226","NPM1","HIST1H1C",8.97988709246072e-09
"227","NPM1","EEF1G",0.668913751699548
"228","NPM1","EEF1B2",0.0049716283252895
"229","NPM1","EEF2",0.059407820251658
"230","NPM1","APOE",0.021280113089637
"231","NPM1","FAU",0.562512682489196
"232","NPM1","PRDX1",0.421315110138456
"233","NPM1","HMGB1",0.551764186147962
"234","NPM1","VIM",1.51960935430719e-05
"235","NPM1","SET",0.369283753332063
"236","NPM1","H2AFZ",0.351411351614793
"237","NPM1","TUBB",0.973689691013092
"238","NPM1","RAN",0.180115614554918
"239","NPM1","HNRNPA2B1",0.235166544943783
"240","NPM1","CHCHD2",0.0490395515993995
"241","NPM1","PPIA",0.0609114718256946
"242","NPM1","OAZ1",0.119234401529663
"243","NPM1","ENO1",0.696835504946484
"244","NPM1","BTF3",0.151510300109554
"245","NPM1","HSPA8",0.379153726288679
"246","NPM1","ACTG1",0.0244058141843084
"247","NPM1","MIF",0.271096736544963
"248","NPM1","TMSB4X",0.644951900997419
"249","NPM1","HNRNPA1",0.0467557279950518
"250","NPM1","EIF1",0.346377944277736
"251","NPM1","HINT1",0.728653580623418
"252","NPM1","HMGA1",0.432420051794519
"253","NPM1","ANP32B",0.160412302231531
"254","NPM1","HSPE1",0.285204783463083
"255","NPM1","ATP5MC3",0.169686047992259
"256","NPM1","SERBP1",0.099078280849882
